tweet_id,raw,clean,created_at,in_response_to
2223467,@Delta I actually need help. We checked in and are on standby tomorrow. We need to be on that flight. Anything that you can do?,I actually need help. We checked in and are on standby tomorrow. We need to be on that flight. Anything that you can do?,Fri Nov 10 14:36:31 +0000 2017,2223466
603641,I got on my @Delta flight and asked for some water while we were still boarding because I have a headache and the flight attendant not only got me water but gave me some Tylenol too! Great service from the crew on DL2544!,I got on my flight and asked for some water while we were still boarding because I have a headache and the flight attendant not only got me water but gave me some Tylenol too! Great service from the crew on DL2544!,Sun Dec 03 22:43:38 +0000 2017,
2870142,"@Delta I get error trying to change Delta Comfort+ fare booked with miles/cash online, says to call Sales. Sales says has 2 hour wait (on hold), I only have 1 hour left before 24 hr period for change expires. Can you help?","I get error trying to change Delta Comfort+ fare booked with miles/cash online, says to call Sales. Sales says has 2 hour wait (on hold), I only have 1 hour left before 24 hr period for change expires. Can you help?",Tue Nov 28 02:08:23 +0000 2017,
571426,Holy crap @delta auto checked me in to a middle seat for my overnight flight tomorrow and I'm FURIOUS cos I'm registered as preferred window seat. #FirstWorldProblems,Holy crap auto checked me in to a middle seat for my overnight flight tomorrow and I'm FURIOUS cos I'm registered as preferred window seat. #FirstWorldProblems,Sun Dec 03 03:57:26 +0000 2017,
1741127,40k Miles with @Delta this year. All domestic. Last year was 5 countries and less Miles 🙈😂 next year is gonna be dope! 🙌🏼🙏🏼💯 #bmx,40k Miles with this year. All domestic. Last year was 5 countries and less Miles 🙈😂 next year is gonna be dope! 🙌🏼🙏🏼💯 #bmx,Tue Nov 07 17:12:55 +0000 2017,
1957085,@Delta do I need my passport info to book a ticket or can it be purchased and info entered later?,do I need my passport info to book a ticket or can it be purchased and info entered later?,Wed Oct 18 16:21:11 +0000 2017,
2672062,"Awaiting DL 2905 CVG to SFO. I hope my dogs remember me. (at @Delta Sky Club in Hebron, KY) https://t.co/AcJ7mGnhgk","Awaiting DL 2905 CVG to SFO. I hope my dogs remember me. (at Sky Club in Hebron, KY)",Tue Oct 31 10:49:16 +0000 2017,
375123,"@Delta I have a flight on Wednesday and I’m on crutches, what’s your policy for traveling with them?","I have a flight on Wednesday and I’m on crutches, what’s your policy for traveling with them?",Mon Oct 09 00:40:22 +0000 2017,
2809597,@Delta check in customer service needs help. Just saw an elderly couple given the hardest time to get a boarding pass. Asked 2 reps for help both need better attitude.,check in customer service needs help. Just saw an elderly couple given the hardest time to get a boarding pass. Asked 2 reps for help both need better attitude.,Wed Nov 22 05:47:12 +0000 2017,
374268,@Delta #Late and now waiting on the ground crew..,#Late and now waiting on the ground crew..,Mon Oct 09 02:55:55 +0000 2017,374266
2263925,Paid $5 for 30 min of wifi to complain about the missing armrest on my @Delta seat which renders the right half of my tray table useless.,Paid $5 for 30 min of wifi to complain about the missing armrest on my seat which renders the right half of my tray table useless.,Sat Nov 11 03:08:08 +0000 2017,
2431872,"@Delta This explanation sounds very convoluted. 1st there was no seats available, now there are seats, but there are no more lower 1st class fares available? What's does that mean and how do I upgrade seats. That's the whole reason I tweeted you. Cmon Delta aka *HML","This explanation sounds very convoluted. 1st there was no seats available, now there are seats, but there are no more lower 1st class fares available? What's does that mean and how do I upgrade seats. That's the whole reason I tweeted you. Cmon Delta aka",Tue Nov 14 21:34:11 +0000 2017,2431870
720330,@Delta manage to send me a text at 5 am with my information but let's leave out the part where if you're not there by 7:30 you're not going.,manage to send me a text at 5 am with my information but let's leave out the part where if you're not there by 7:30 you're not going.,Thu Oct 19 13:11:58 +0000 2017,
671436,"@Delta Can't BELIEVE you couldn't hold 1094 from ATL - OKC long enough for a late connection due to pilot no-show on 523 from CVG - ATL. My friend and son ran all the way to gate, missed by a couple of minutes. SHAME.","Can't BELIEVE you couldn't hold 1094 from ATL - OKC long enough for a late connection due to pilot no-show on 523 from CVG - ATL. My friend and son ran all the way to gate, missed by a couple of minutes. SHAME.",Thu Nov 23 00:47:53 +0000 2017,
581589,Leaving #RIC for #CHS. @Delta looking good at the gate. https://t.co/fpjLuChO5T,Leaving #RIC for #CHS. looking good at the gate.,Sun Dec 03 12:32:50 +0000 2017,
1797929,Thank you @Delta for delaying #DL4153 TWICE 😔,Thank you for delaying #DL4153 TWICE 😔,Fri Oct 13 21:41:02 +0000 2017,
2713354,@Delta Thanks. Still have a problem on the connection. Please see my other tweet.,Thanks. Still have a problem on the connection. Please see my other tweet.,Mon Nov 20 03:48:20 +0000 2017,2713367
2258251,@Delta I have a tip: teach ur attendants to show passengers how to clear cache/cookies on mobile browsers when GoGo is stuck in a loop &amp; won't load,I have a tip: teach ur attendants to show passengers how to clear cache/cookies on mobile browsers when GoGo is stuck in a loop & won't load,Sat Nov 11 03:43:53 +0000 2017,2258249
202827,@163984 @Delta Yikes again...too early for a drink?,Yikes again...too early for a drink?,Wed Oct 04 14:59:30 +0000 2017,202828
394612,@Delta Any idea why flight between MCI and LGA was cancelled earlier and now rescheduled flight (DL3287) is delayed 3 hours?,Any idea why flight between MCI and LGA was cancelled earlier and now rescheduled flight (DL3287) is delayed 3 hours?,Mon Oct 09 16:11:37 +0000 2017,
14400,Honestly trying to figure out the benefits of having #Gold status with @Delta. Can't even get on a later flight... #SMH,Honestly trying to figure out the benefits of having #Gold status with . Can't even get on a later flight... #SMH,Wed Nov 01 02:27:53 +0000 2017,
2201721,"@Delta I have been #Delta Sky member for last 3 years!I became a #Delta member  it’s known for it's good #customer #service. But I am highly #disappointed by this experience not only because I see no point of being a Plantinum member but #rude, #condescending behavior of ground staff.","I have been #Delta Sky member for last 3 years!I became a #Delta member it’s known for it's good #customer #service. But I am highly #disappointed by this experience not only because I see no point of being a Plantinum member but #rude, #condescending behavior of ground staff.",Tue Nov 14 06:49:28 +0000 2017,2201720
872913,@Delta @delta 3 of my last 4 flights had problems. That's a lot of significant inconvenience to overcome!,3 of my last 4 flights had problems. That's a lot of significant inconvenience to overcome!,Fri Oct 20 20:00:56 +0000 2017,872915
166791,"@154751 @Delta Thank you. Landed in Salt Lake City with #2Ku Gate-to-gate @116462 WiFi, too. Now onward to 🎲 LAS! https://t.co/vKeXkwy5Bn","Thank you. Landed in Salt Lake City with #2Ku Gate-to-gate WiFi, too. Now onward to 🎲 LAS!",Fri Nov 24 20:18:19 +0000 2017,166792
2110762,@Delta had one of the best experiences flying w/ my 9 month old. Thank you 💓✈️ #travel #digitalnomad #travelingwithkids https://t.co/AfcCI87FIZ,had one of the best experiences flying w/ my 9 month old. Thank you 💓✈️ #travel #digitalnomad #travelingwithkids,Thu Oct 19 05:05:35 +0000 2017,
1930304,1st time w/ @AmericanAir it's ok just no power charge station in plane unlike @Delta,1st time w/ it's ok just no power charge station in plane unlike,Sat Oct 28 11:34:40 +0000 2017,
941175,Starting to doubt @Delta this week....third delayed flight since Sunday 🙃. Hoping next week goes more smoothly! 🙈,Starting to doubt this week....third delayed flight since Sunday 🙃. Hoping next week goes more smoothly! 🙈,Fri Oct 13 22:31:27 +0000 2017,
1892213,@Delta The plane is still sitting there...had to rebook myself online and no flights avail to Boston tonight..all overbooked,The plane is still sitting there...had to rebook myself online and no flights avail to Boston tonight..all overbooked,Sun Oct 22 22:44:30 +0000 2017,1018904
1914791,@Delta Sent #delta,Sent #delta,Wed Oct 25 22:43:48 +0000 2017,1914789
234615,Thanks @Delta for good flights yesterday. Long day of travel but home on time. 5406 from HPN &amp; 3422 to New Bern. Thx Rocky! #delta #home,Thanks for good flights yesterday. Long day of travel but home on time. 5406 from HPN & 3422 to New Bern. Thx Rocky! #delta #home,Thu Oct 05 12:49:52 +0000 2017,
648775,When you mess up... and @Delta has your back anyways. So grateful for their customer service and the customer experience here. More reminders as to why I exclusively fly delta.,When you mess up... and has your back anyways. So grateful for their customer service and the customer experience here. More reminders as to why I exclusively fly delta.,Wed Nov 22 18:36:30 +0000 2017,
2342890,Thanks @Delta for having the most awesome dedicated #skymiles medallion line representatives. They're always so good! Makes frequent travel a little bit easier :),Thanks for having the most awesome dedicated #skymiles medallion line representatives. They're always so good! Makes frequent travel a little bit easier :),Mon Nov 13 15:00:26 +0000 2017,
671443,@Delta @280197 @30316 @30317 @30318 @30319 @280199 @30320 @30321 @280200 Hopefully a thanksgiving miracle :),Hopefully a thanksgiving miracle :),Thu Nov 23 00:56:02 +0000 2017,671441
1136630,@Delta offering that complimentary breakfast selection from RDU to SEA. #perks,offering that complimentary breakfast selection from RDU to SEA. #perks,Tue Oct 24 09:42:10 +0000 2017,
1092671,@delta Hey Delta… I had a 1-Hour wait in the phone tree and missed the call. Now wait is another 2 hours. Can I talk to a person?,Hey Delta… I had a 1-Hour wait in the phone tree and missed the call. Now wait is another 2 hours. Can I talk to a person?,Mon Oct 23 17:59:10 +0000 2017,
863190,@Delta Can you tell me what keeps causing thr delays out of myrtle beach to Atlanta?,Can you tell me what keeps causing thr delays out of myrtle beach to Atlanta?,Fri Oct 13 14:54:49 +0000 2017,863189
307614,@Delta I did provide that information. I struggle with waiting 24 hours to get my bag.,I did provide that information. I struggle with waiting 24 hours to get my bag.,Sat Oct 07 00:21:34 +0000 2017,307613
207035,@Delta This weekend @delta is taking us to Boston! #Delta https://t.co/QDBZ8k1RSa,This weekend is taking us to Boston! #Delta,Fri Oct 06 19:23:13 +0000 2017,207018
2294505,On the way to Denver 👍 Daily reminder that I hate any other airline than @Delta,On the way to Denver 👍 Daily reminder that I hate any other airline than,Thu Oct 19 20:08:16 +0000 2017,
1832497,@Delta Me again. Y’all off-boarded my bag in Detroit. Can you make sure it gets on the 9:55 DTW-CMH?,Me again. Y’all off-boarded my bag in Detroit. Can you make sure it gets on the 9:55 DTW-CMH?,Tue Oct 17 00:34:16 +0000 2017,1832496
1807344,@Delta I don’t even need response (ur bio says some1s wtchng 24/7 but 🤷🏽‍♀️) here’s my fb post ... just TERRIBLE #soulplanevibes #snoopdogg https://t.co/SS7e03uRRV,I don’t even need response (ur bio says some1s wtchng 24/7 but 🤷🏽‍♀️) here’s my fb post ... just TERRIBLE #soulplanevibes #snoopdogg,Sat Oct 14 06:00:35 +0000 2017,
571411,@Delta we are stuck in Munich without our luggage. The app doesn’t update where it is. Nobody is responding to messages. #notcool #DeltaAirlines #hotmess,we are stuck in Munich without our luggage. The app doesn’t update where it is. Nobody is responding to messages. #notcool #DeltaAirlines #hotmess,Sun Dec 03 01:51:48 +0000 2017,
2757677,After having to go through customs and then recheck my bags from Argentina early this morning I wasn't sure if I'd make my next flights... But thankfully I did and also got a nice @Delta notification about bags being loaded for my last leg! #fulldayoftravelbeforenoon,After having to go through customs and then recheck my bags from Argentina early this morning I wasn't sure if I'd make my next flights... But thankfully I did and also got a nice notification about bags being loaded for my last leg! #fulldayoftravelbeforenoon,Tue Nov 21 03:00:49 +0000 2017,
1036062,@Delta PHL Sky Club should be called Sky Closet. People sitting on plastic chairs in the hallway. Really?,PHL Sky Club should be called Sky Closet. People sitting on plastic chairs in the hallway. Really?,Thu Oct 12 19:46:00 +0000 2017,
2433778,@Delta Your website directed me to this Twitter handle...you tell me.  could start by ensuring I get my bags soon/tonight as promised... Offer bonus miles/points?,Your website directed me to this Twitter handle...you tell me. could start by ensuring I get my bags soon/tonight as promised... Offer bonus miles/points?,Sun Nov 12 18:59:11 +0000 2017,2433779
1953001,@Delta Call me crazy @Delta but I kinda feel like these things should be taken care of BEFORE you board a whole plane?,Call me crazy but I kinda feel like these things should be taken care of BEFORE you board a whole plane?,Sun Oct 29 15:21:16 +0000 2017,1953002
522757,"@Delta I did and they located bag which will only get here earliest by 3pm tom, but also said I couldn't get reimbursed for any expenses.","I did and they located bag which will only get here earliest by 3pm tom, but also said I couldn't get reimbursed for any expenses.",Sat Dec 02 04:20:12 +0000 2017,522759
2136993,"@Delta I hate to admit I became this guy on the flight between ATL--&gt;AUS today...no like out loud, but in my head for sure.
https://t.co/8hFSIoPRfU","I hate to admit I became this guy on the flight between ATL-->AUS today...no like out loud, but in my head for sure.",Wed Nov 08 21:04:54 +0000 2017,
1065047,@Delta Thank you. See you Thursday.,Thank you. See you Thursday.,Mon Oct 23 16:00:42 +0000 2017,1065045
1389201,@Delta So if our flight is still displaying like this does that mean we have to rebook anything? https://t.co/8inPWkUw2I,So if our flight is still displaying like this does that mean we have to rebook anything?,Sat Oct 28 10:58:17 +0000 2017,1389202
207355,@Delta H25PDA,H25PDA,Fri Oct 20 22:13:08 +0000 2017,207356
1309419,"@delta Thank You for a relaxing and easy flight and transition in Atlanta. Your attendants and pilots have made sure I was comfortable and @824 was wonderful in helping me from gate to gate. In this busy time, thank you for the special attention. #survivor #appreciation https://t.co/a9ehRl9yS1","Thank You for a relaxing and easy flight and transition in Atlanta. Your attendants and pilots have made sure I was comfortable and was wonderful in helping me from gate to gate. In this busy time, thank you for the special attention. #survivor #appreciation",Sat Nov 25 19:51:43 +0000 2017,
1211853,This is the 5th flight with @Delta I’ve taken recently and the AC plug does not work... please fix this!!! https://t.co/fME1YVvnwF,This is the 5th flight with I’ve taken recently and the AC plug does not work... please fix this!!!,Wed Oct 25 12:20:30 +0000 2017,
2717538,"@762746 @Delta Oh, no. :( https://t.co/frQho5mBup","Oh, no. :(",Mon Nov 20 07:03:07 +0000 2017,2717536
1463644,Anywho... lets talk about how @Delta took my money and didnt give me a ticket. So now... I am beyond frustrated cause now i have neither.,Anywho... lets talk about how took my money and didnt give me a ticket. So now... I am beyond frustrated cause now i have neither.,Thu Nov 02 18:49:10 +0000 2017,
1658823,Had to drive DTW to CLE b/c was faster w/delay. @Delta I still need CLE to BDL Tues. Will I have probs bc I’m not on DTW flt? 2hrwait2call,Had to drive DTW to CLE b/c was faster w/delay. I still need CLE to BDL Tues. Will I have probs bc I’m not on DTW flt? 2hrwait2call,Mon Nov 06 03:03:03 +0000 2017,
1416532,"@Delta Yes, already checked in via app.  Just need to drop bags.   No one is here","Yes, already checked in via app. Just need to drop bags. No one is here",Thu Nov 02 03:06:35 +0000 2017,1416533
1238080,Being priority platinum doesn’t mean much when it comes to your fishing rods.. for @Delta,Being priority platinum doesn’t mean much when it comes to your fishing rods.. for,Mon Oct 16 00:22:40 +0000 2017,
265060,@delta how long does it take for miles to show up? i flew back a week ago still dont see miles,how long does it take for miles to show up? i flew back a week ago still dont see miles,Thu Oct 05 22:56:18 +0000 2017,
1528136,"Thanks to @Delta, we missed one flight because they changed our departure time 30 min before takeoff. And our next flight is delayed an hour","Thanks to , we missed one flight because they changed our departure time 30 min before takeoff. And our next flight is delayed an hour",Fri Nov 03 18:38:03 +0000 2017,
2851503,@Delta I’ve had an email notifying me of a schedule change for a flight? This new time doesn’t work for me. Can I cancel and get a refund?,I’ve had an email notifying me of a schedule change for a flight? This new time doesn’t work for me. Can I cancel and get a refund?,Mon Nov 27 19:53:44 +0000 2017,
1978612,@Delta @824 hi there we’re on #5493 w/AC issue. Hours delay. They’re looking 2 swap aircraft. Do u have any more info? Pos ETA? Thx!,hi there we’re on #5493 w/AC issue. Hours delay. They’re looking 2 swap aircraft. Do u have any more info? Pos ETA? Thx!,Tue Oct 31 19:23:27 +0000 2017,
